X,Y,Z,A,Ay,Az,
353,54,-16,7,1,5,0
353,54,-16,7,1,5,0
353,54,-16,7,1,5,0
353,54,-16,7,1,5,0
353,54,-16,7,1,5,0
353,54,-16,7,1,5,1
353,54,-16,7,1,5,1
354,54,-16,7,1,5,1
353,55,-19,11,3,9,1
355,48,-19,9,3,12,1
358,29,-11,8,2,13,1
357,0,0,4,1,0,1
352,-29,3,-5,-2,0,1
351,-37,3,-13,0,11,1
347,-58,1,-1,0,6,1
358,-75,16,0,-1,4,1
19,-57,42,0,-4,6,0
38,-3,25,20,-1,13,0
29,68,13,34,-2,15,0
6,69,146,11,0,6,0
352,45,159,4,-1,2,0
28,33,164,3,0,-2,0
25,29,164,4,-3,-4,0
23,29,162,5,-4,-6,0
23,30,159,5,-3,-6,0
166,33,156,7,-3,-6,0
119,40,156,5,-1,-5,0
119,44,149,7,-3,-5,0
129,51,148,7,-3,-3,0
137,58,146,9,-3,-3,0
138,64,134,10,-3,-2,0
138,68,114,10,-5,0,0
143,70,101,10,-5,-1,0
145,71,94,9,-4,-1,0
147,70,93,9,-3,0,0
140,66,89,8,-2,0,0
139,65,90,8,-4,0,0
137,64,88,8,-3,0,0
135,65,87,8,-3,0,0
136,67,90,8,-4,1,0
134,68,95,10,-3,0,0
127,67,89,9,-5,0,0
122,67,84,8,-5,0,0
115,65,79,9,-4,0,0
113,65,76,8,-4,0,0
111,64,75,8,-4,1,0
109,64,74,8,-4,0,0
108,64,74,8,-4,0,0
109,65,73,8,-4,1,0
108,65,71,8,-3,1,0
133,20,6,2,-1,8,0
133,21,5,3,0,9,0
133,22,5,3,0,9,0
133,22,4,3,-1,9,0
132,21,5,3,-1,8,0
132,21,4,3,0,9,0
131,21,4,3,0,9,0
131,21,4,3,0,9,0
132,22,4,3,0,9,0
132,22,4,3,-1,9,0
132,22,4,3,0,9,0
131,22,4,3,0,8,0
131,23,4,3,0,9,0
132,23,4,3,0,8,0
132,23,2,3,0,7,0
131,27,-1,2,1,5,0
127,34,-1,5,0,5,0
122,43,-7,9,1,7,0
118,51,-11,7,1,8,0
116,57,-12,8,0,6,0
115,58,-12,7,6,9,0
115,58,-12,7,1,4,0
118,58,-9,8,0,4,0
119,57,-9,8,1,5,0
119,57,-9,8,0,4,0
119,57,-9,8,0,5,0
119,57,-9,8,0,5,0
119,57,-9,8,0,5,0
119,57,-9,8,0,5,0
120,57,-8,8,0,5,0
120,57,-8,8,0,5,0
120,57,-8,8,0,5,0
121,56,-8,8,0,5,0
121,56,-8,8,0,5,0
121,56,-8,8,0,5,0
121,56,-8,8,0,5,0
121,56,-8,8,0,5,0
121,56,-8,8,0,5,0
121,56,-8,8,0,5,0
121,56,-8,8,0,5,0
121,56,-8,8,0,5,0
121,56,-8,8,0,5,0
121,57,-8,8,0,5,0
122,57,-7,8,0,5,0
122,57,-7,8,0,5,0
122,57,-7,8,0,5,0
122,57,-7,8,0,5,0
122,57,-7,8,0,5,0
122,57,-7,8,0,5,0
122,57,-7,8,0,5,0
122,56,-7,8,0,5,0
122,56,-7,8,0,5,0
122,56,-7,8,0,5,0
122,56,-7,8,0,5,0
122,56,-7,8,0,5,0
122,56,-7,8,0,5,0
122,56,-7,8,0,5,0
122,56,-7,8,0,5,0
122,56,-7,8,0,5,0
122,56,-7,8,0,5,1
122,56,-7,8,0,5,1
122,56,-7,8,0,5,1
122,56,-7,7,1,6,1
122,56,-7,8,0,5,1
122,57,-7,8,0,6,1
119,55,-10,16,3,16,1
121,34,-2,9,1,11,1
124,0,0,2,-1,2,1
124,-38,6,2,-3,1,1
133,-56,28,6,-10,7,1
160,-12,39,1,-5,8,1
159,58,20,28,0,16,1
119,67,117,11,2,15,1
111,59,129,3,-1,1,1
101,55,128,5,-4,-1,1
93,53,128,7,-5,-1,1
89,52,128,7,-5,-2,1
85,51,126,7,-5,-3,1
81,49,126,7,-5,-3,0
78,47,125,7,-5,-3,0
73,46,118,5,-4,-1,0
84,48,120,8,-5,-3,0
97,53,123,9,-3,-2,0
101,57,120,9,-4,-1,0
106,64,119,7,-3,-1,0
106,68,117,9,-3,-1,0
104,68,114,9,-3,-1,0
1,17,3,3,0,9,0
1,17,3,2,0,9,0
1,16,3,2,0,9,0
1,16,3,2,0,9,0
1,16,3,2,0,9,0
1,16,3,2,0,9,0
1,16,3,2,0,9,0
1,16,3,2,0,9,0
1,16,3,2,0,9,0
2,16,3,2,0,9,0
2,16,3,2,0,10,0
2,14,3,2,-1,11,0
1,10,3,1,-1,11,0
359,0,3,0,-1,11,0
358,-15,7,0,-3,10,0
357,-33,16,0,-3,6,0
2,-40,29,2,-4,6,0
13,-18,30,2,-6,8,0
26,30,25,16,0,12,0
32,83,3,24,-4,8,0
55,51,-166,8,-2,3,0
37,26,-178,3,0,0,0
46,15,164,0,0,-3,0
54,10,156,1,-2,-3,0
58,15,146,1,-3,-3,0
305,26,132,2,-4,-1,0
307,40,105,6,-5,0,0
309,57,90,12,-3,3,0
323,72,99,16,-3,-1,0
344,84,5,12,-3,-1,0
357,82,19,11,-1,0,0
358,79,31,12,0,1,0
359,74,46,12,0,0,0
5,69,42,5,-3,2,0
14,65,29,8,-1,2,0
22,60,23,8,-2,2,0
29,58,21,9,-1,3,0
37,58,24,10,-2,2,0
40,59,25,9,-2,2,0
156,62,29,9,-2,2,0
156,64,32,9,-2,2,0
156,65,34,8,-2,3,0
155,65,35,8,-2,3,0
154,66,33,8,-2,3,0
153,66,30,9,-2,3,0
153,66,25,9,-1,3,0
153,66,23,9,-1,4,0
151,66,23,8,-1,4,0
150,66,26,9,-1,3,0
148,67,29,8,-1,3,0
146,67,31,8,-1,3,0
355,65,-3,8,0,4,0
355,64,-3,8,0,4,0
355,64,-3,8,0,4,0
355,64,-3,8,0,4,0
355,64,-3,8,0,4,0
355,64,-3,8,0,4,0
355,64,-3,8,0,4,0
355,64,-3,8,0,4,1
355,64,-3,8,0,4,1
355,64,-3,8,0,4,1
355,64,-3,8,0,4,1
356,64,-3,8,0,5,1
359,61,0,10,0,8,1
5,49,8,8,-1,10,1
1,36,8,8,-2,10,1
357,14,10,5,-2,13,1
353,-14,10,0,0,9,1
345,-49,17,-1,-1,1,1
341,-75,18,-1,-3,0,1
348,-84,3,-1,-4,1,1
6,-70,41,-1,-5,4,1
25,-28,29,1,-7,10,1
30,27,11,20,-1,16,1
5,81,64,15,-5,15,1
39,52,178,8,1,2,0
46,16,144,5,0,0,0
222,-12,118,0,-3,0,0
214,-42,83,0,-1,3,0
217,-59,58,-6,-1,4,0
214,-61,32,-6,0,4,0
212,-47,1,-4,1,8,0
207,-26,-9,-1,2,11,0
204,-1,-7,2,2,11,0
208,18,-1,6,1,11,0
216,32,4,7,0,10,0
229,43,7,7,0,8,0
240,51,5,7,0,6,0
251,56,-2,8,0,5,0
261,58,-10,7,0,6,0
275,58,-13,7,1,5,0
286,58,-16,7,1,5,0
293,61,-16,7,0,5,0
296,63,-14,8,0,5,0
295,66,-14,8,1,4,0
292,71,-14,9,0,3,0
48,75,-12,9,1,3,0
44,78,-4,10,0,2,0
39,78,7,9,1,2,0
35,76,16,9,0,2,0
33,74,17,9,0,2,0
33,73,9,9,0,2,0
31,73,4,9,1,2,0
